PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
399,0,0,-1,-26.64,-36.51,0,0,0,0
400,0,0,-1,-25.67,-36.26,0,0,0,0
401,0,0,-1,-24.7,-36.03,0,0,0,0
402,0,0,-1,-23.72,-35.84,0,0,0,0
403,0,0,-1,-22.73,-35.68,0,0,0,0
404,0,0,-1,-21.74,-35.55,0,0,0,0
405,0,0,-1,-20.74,-35.47,0,0,0,0
406,0,0,-1,-19.74,-35.42,0,0,0,0
407,0,0,-1,-18.74,-35.41,0,0,0,0
408,0,0,-1,-17.74,-35.46,0,0,0,0
409,0,0,-1,-16.75,-35.55,0,0,0,0
410,0,0,-1,-15.76,-35.69,0,0,0,0
411,0,0,-1,-14.78,-35.89,0,0,0,0
412,0,0,-1,-13.81,-36.15,0,0,0,0
413,0,0,-1,-12.87,-36.47,0,0,0,0
414,0,0,-1,-11.94,-36.85,0,0,0,0
415,0,0,-1,-11.04,-37.29,0,0,0,0
416,0,0,-1,-10.17,-37.78,0,0,0,0
417,0,0,-1,-9.34,-38.34,0,0,0,0
418,0,0,-1,-8.55,-38.95,0,0,0,0
419,0,0,-1,-7.79,-39.6,0,0,0,0
420,0,0,-1,-7.08,-40.31,0,0,0,0
421,0,0,-1,-6.41,-41.05,0,0,0,0
422,0,0,-1,-5.79,-41.83,0,0,0,0
423,0,0,-1,-5.21,-42.65,0,0,0,0
424,0,0,-1,-4.67,-43.49,0,0,0,0
425,0,0,-1,-4.18,-44.36,0,0,0,0
426,0,0,-1,-3.72,-45.25,0,0,0,0
427,0,0,-1,-3.3,-46.16,0,0,0,0
428,0,0,-1,-3.25,-46.28,0,0,0,0
429,0,0,-1,5.43,-75.53,0,0,0,0
430,0,0,-1,-3.1,-5.46,0,0,0,0
431,0,0,1.13,-14.72,38.52,0,0,0,0
432,0,0,-1,-9.44,-4.33,0,0,0,0
433,0,0,-1,-20.25,39.41,0,0,0,0
