PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
445,0,0,0,-33.82,-5.23,0,0,0,0
446,0,0,0,-34.63,-4.66,0,0,0,0
447,0,0,0,-35.21,-3.85,0,0,0,0
448,0,0,0,-35.52,-2.89,0,0,0,0
449,0,0,0,-35.55,-1.89,0,0,0,0
450,0,0,0,-35.38,-0.91,0,0,0,0
451,0,0,0,-35.05,0.03,0,0,0,0
452,0,0,0,-34.91,0.39,0,0,0,0
453,0,0,0,-14.81,47.68,0,0,0,0
454,0,0,0,-8.43,61.98,0,0,0,0
455,0,0,0,-54.47,2.28,0,0,0,0
456,0,0,0,-53.58,1.83,0,0,0,0
457,0,0,0,-52.65,1.44,0,0,0,0
458,0,0,0,-51.7,1.14,0,0,0,0
459,0,0,0,-50.72,0.93,0,0,0,0
460,0,0,0,-49.72,0.81,0,0,0,0
461,0,0,0,-48.73,0.8,0,0,0,0
462,0,0,0,-47.73,0.89,0,0,0,0
463,0,0,0,-46.75,1.11,0,0,0,0
464,0,0,0,-45.81,1.45,0,0,0,0
465,0,0,0,-44.92,1.9,0,0,0,0
466,0,0,0,-44.1,2.46,0,0,0,0
467,0,0,0,-43.35,3.13,0,0,0,0
468,0,0,0,-42.68,3.87,0,0,0,0
469,0,0,0,-42.1,4.68,0,0,0,0
470,0,0,0,-41.6,5.56,0,0,0,0
471,0,0,0,-41.55,5.62,0,0,0,0
472,0,0,0,-31.67,30.43,0,0,0,0
473,0,0,0,-31.43,31.4,0,0,0,0
474,0,0,0,-31.28,32.39,0,0,0,0
475,0,0,0,-31.23,33.39,0,0,0,0
476,0,0,0,-31.26,34.39,0,0,0,0
477,0,0,0,-31.4,35.37,0,0,0,0
478,0,0,0,-31.6,36.35,0,0,0,0
479,0,0,0,-31.89,37.31,0,0,0,0
480,0,0,0,-32.24,38.25,0,0,0,0
481,0,0,0,-32.66,39.16,0,0,0,0
482,0,0,0,-33.13,40.04,0,0,0,0
483,0,0,0,-33.64,40.9,0,0,0,0
484,0,0,0,-34.21,41.72,0,0,0,0
485,0,0,0,-34.81,42.52,0,0,0,0
486,0,0,0,-35.44,43.3,0,0,0,0
487,0,0,0,-36.12,44.04,0,0,0,0
